,Country,Happiness_Difference,Percentage_deaths,Average_Happiness
0,Finland,0.15751552583799647,0.07716731744377428,7.823900028333334
1,Denmark,-0.12556035103046764,0.11961098905169322,7.6338666139999996
2,Switzerland,-0.6336037278648592,0.23810403238048108,7.547633268999999
3,Iceland,0.6995814326821513,0.03465561325427124,7.538499970666667
4,Norway,-1.6426271017602332,0.05485665422741067,7.4149999719999995
5,Netherlands,-0.45510373323737086,0.19066020697761088,7.4426334076666665
6,Sweden,0.4147699933418776,0.27159083906588743,7.366833296333334
7,New Zealand,-1.3644600020284643,0.006372558660975945,7.258866708
8,Austria,-1.7986886157120068,0.2963710111536971,7.241733314666667
9,Canada,-2.8636220421957295,0.13893239892185555,7.120033336666666
10,Australia,-0.841775763813784,0.02674241465672699,7.189266592666666
11,United Kingdom,-3.091635559673731,0.3618819306493241,7.057166745666667
12,Israel,3.3021894201435185,0.1506440516109429,7.216533373666667
13,Costa Rica,-7.574351787077906,0.20502093200112917,6.924133293000001
14,Ireland,-0.7429117739004956,0.18280376935997017,7.073233310666667
15,Germany,-0.5907451078695284,0.22077209845481294,7.088266647333334
16,United States,0.5389360921163305,0.3995395731440754,6.955866663666666
17,Belgium,-0.8523365191847212,0.4382618138342746,6.834166706
18,United Arab Emirates,-3.163104376436517,0.029998786702256735,6.6426000316666665
19,Malta,-4.810417707465593,0.16707675828398003,6.6072666563333335
20,France,0.3481532732843638,0.3012099690014418,6.680266587666668
21,Mexico,-5.212685924587633,0.3657860311103417,6.303333384333333
22,Uruguay,0.5263863291575355,0.21083982707909976,6.448366731
23,Saudi Arabia,1.8184677981940365,0.04382449097079621,6.474499954333333
24,Spain,1.1732742946429466,0.33014930784452023,6.455966629
25,Italy,1.2462010854290888,0.391639785460362,6.44580005
26,Singapore,1.6135862562171441,0.022723247553073818,6.411366663666667
27,Brazil,-1.2955621871013192,0.400792420343999,6.332866620333333
28,Slovenia,4.189584479274057,0.4945255917112621,6.484799993999999
29,El Salvador,-3.5962380593111174,0.08394744473691149,6.176433326666667
30,Kosovo,2.0521077173495326,0.24824971105498866,6.384066693666667
31,Panama,0.06661537205542771,0.28045540339596475,6.264600011333333
32,Slovakia,1.7577926910162551,0.39367431867688796,6.334200023666668
33,Uzbekistan,-3.109815844023097,0.006575709021224263,6.166533277
34,Chile,-0.9071187285366002,0.3816970195293429,6.1908332963333335
35,Bahrain,6.739675649876219,0.10707676322577271,6.507100055666666
36,Lithuania,3.7084727942134403,0.3821624145537294,6.305499959333333
37,Poland,-1.0232255635229186,0.3794657758092745,6.158433267
38,Colombia,-6.204370351858389,0.3581066670670633,5.985466724333333
39,Cyprus,1.0066582368132226,0.08895433925727268,6.200999973333334
40,Nicaragua,0.4546085121614694,0.005962665562089161,6.091366740000001
41,Romania,5.769385335785121,0.4184858694162073,6.246900047333334
42,Mauritius,-0.4966116102628929,0.07726705326528355,6.0737665876666656
43,Kazakhstan,2.906948767647795,0.11602585841006183,6.1479666506666675
44,Estonia,5.300739925382729,0.20188359500225278,6.183933347
45,Philippines,-1.6983023857261608,0.06237846613765505,5.930000014
46,Hungary,1.4265704462779767,0.5641657373646289,6.026133355333333
47,Thailand,-1.7970228141640836,0.03609026925481266,5.958266600333334
48,Argentina,-0.12887632907942118,0.38916835032944064,5.956899991333334
49,Honduras,1.1556833061762806,0.14125748338551106,5.964733287666665
50,Latvia,3.8655495526588064,0.32723845785916905,6.053999936333334
51,Ecuador,-6.619185629627449,0.2802461704488904,5.740733328666667
52,Portugal,1.7780690239631918,0.2771270809659553,5.951966705333334
53,Jamaica,-0.6757457216452736,0.10759293398771631,6.016266690666666
54,South Korea,1.0660069998193797,0.03304637900137778,5.8841332689999994
55,Japan,2.8650265974704503,0.0249721818524443,5.949933339333334
56,Peru,-4.102265584113579,0.9257746745511306,5.731933379
57,Serbia,6.919106981782207,0.27468696759560557,6.01140005
